hotel_id,hotel_name,hotel_formerly_name,hotel_translated_name,addressline1,addressline2,zipcode,city,state,country,countryisocode,longitude,latitude
4392,Holiday Inn Leeds Garforth,,??????????????????,Wakefield Rd,,LS25 1LH,????,,????,GB,-1.405051,53.785427
4429,Mercure Perth Hotel,Ramada Jarvis Hotel,????????????,West Mill Street,,PH1 5QP,????,,????,GB,-3.434178,56.397556
4453,Westbury Hotel,,??????????????,22-24 Collingham Place,,SW5 0PZ,????,,????,GB,-0.189585,51.493629
4471,The Ritz London Hotel,,??????????????????,150 Piccadilly,,W1J 9BR,????,,????,GB,-0.141423,51.507168
4490,Hilton Edinburgh Grosvenor Hotel,,??????????????????,Grosvenor Street Haymarket,,EH12 5EF,??????,,????,GB,-3.217197,55.947025
4493,Holiday Inn Express Perth,,????????????????,200 Dunkeld Rd,,PH1 3AQ,????,,????,GB,-3.461873,56.416348
4582,Holiday Inn Kenilworth - Warwick,,????????????????????????,212 Abbey End,,CV8 1ED,??????,,????,GB,-1.580626,52.343826
4642,Hilton Edinburgh Carlton,Hilton Edinburgh,????????????????,19 North Bridge,,EH1 1SD,??????,,????,GB,-3.187918,55.951041
4656,Holiday Inn Birmingham M6 J7,,??????????M6????????7??????????,Chapel Lane,,B43 7BG,??????,,????,GB,-1.93395,52.555405
4685,Coldra Court Hotel by Celtic Manor,Hilton Newport Hotel,??????????????????????????,Chepstow Road,,NP18 2LX,????,,????,GB,-2.921355,51.604717
4725,Savoy Hotel,,????????,Queens Promenade,,FY2 9SJ,????????,,????,GB,-3.054254,53.834126
4728,Holiday Inn Cambridge,,??????????????????,"Lakeview , Bridge Road",,CB24 9PH,????,,????,GB,0.115571,52.23709
4799,Holiday Inn London - Regent's Park,Holiday Inn Regents Park Hotel,???????????? - ????????,Carburton Street,,W1W 5EE,????,,????,GB,-0.14271,51.522285
4900,Hilton Bracknell Hotel,,????????????????????,Bagshot Road,,RG12 0QJ,??????????,,????,GB,-0.74373,51.3944
4901,Mercure Bradford - Bankfield Hotel,Ramada Jarvis,????????????????????????????,Bradford Road,,BD16 1TU,????????,,????,GB,-1.81589,53.83467
4978,The Kings Hotel,,????????,139-141 Kings Road,,BN1 2NA,??????,,????,GB,-0.15359,50.822327
4981,Saint Georges Hotel,,??????????,14-15 Langham Place,,W1B 2QS,????,City of London,????,GB,-0.142632,51.517982
5009,Dolphin Hotel,,????????,32-34 Norfolk Square,,W2 1RS,????,,????,GB,-0.173782,51.515892
5135,Hotel Indigo London - Kensington,Barkston Gardens Hotel,?????????????? - ??????,34-44 Barkston Gardens,,SW5 0EW,????,,????,GB,-0.191516,51.49207
5182,Caledonian Hotel,,????????????,Quay Street,,IV26 2UG,??????,,????,GB,-5.160878,57.896259
5190,Sofitel St James London Hotel,Sofitel St James London,??????????????????????,6 Waterloo Place,,SW1Y 4AN,????,,????,GB,-0.132221,51.507692
5240,O.R. Residence and hotel,,O.R. ????????,6 West Coates,,EH12 5JG,??????,Scotland,????,GB,-3.229927,55.946104
5249,Hilton Nottingham Hotel,,??????????,38 Milton Street,,,??????,,????,GB,-1.148264,52.956653
5318,Thistle Kensington Gardens Hotel,,??????????????????,104 Bayswater Road,,W2 3HL,????,,????,GB,-0.183936,51.510814
5334,Hotel Indigo - Edinburgh - Princes Street,,??????????????????,20 Princes Street,,EH2 2AN,??????,"Edinburgh, City of",????,GB,-3.190754,55.953243
5355,Hallmark Hotel The Welcombe Stratford upon Avon,Menzies,????????????????????????????????,Warwick Road,,,????????????????????,,????,GB,-1.68867,52.20955
5359,Central Park Hotel,,????????????,49/67 Queensborough Terrace,,,????,,????,GB,-0.185115,51.511253
5364,Holiday Inn Basingstoke,,??????????????????,Grove Road,,RG21 3EE,??????????,,????,GB,-1.080143,51.253807
5515,"Holiday Inn Norwich, Ipswich Road",,??????????????????????????,Ipswich Road,,NR4 6EP,??????,,????,GB,1.28098,52.600883
5532,Sloane Square Hotel,,????????????,Sloane Square,,SW1W 8EG,????,,????,GB,-0.15733,51.492844
5623,Holiday Inn London Kensington Forum,,??????????????????????,97 Cromwell Road,,SW7 4DN,????,,????,GB,-0.184917,51.494083
5626,Mercure London Bridge,,????????-??????,71-79 Southwark Street,,SE1 0JA?,????,,????,GB,-0.099263,51.505395
5815,Marriott Durham Royal County,,??????????????????????,Old Elvet,,DH1 3HL,??????,"North East,?England",????,GB,-1.571453,54.775498
5820,K West Hotel & Spa,K West & Spa Hotel,K??????????,Richmond Way,,W14 0AX,????,,????,GB,-0.216407,51.5024
5876,DoubleTree by Hilton Aberdeen Treetops,,????????????????????????,161 Springfield Road,,AB15 7AQ,??????,,????,GB,-2.15313,57.134404
5900,Holiday Inn Brighton Seafront,Hilton West Pier,??????????????????,137 Kings Rd,,BN1 2JF,??????,,????,GB,-0.152384,50.82217
5909,Radisson Blu Edwardian Mercer Street Hotel,Radisson Edwardian Blu Mercer Street Hotel,????????????????????????????????,"20 Mercer Street, Covent Garden",,WC2H 9HD,????,,????,GB,-0.126981,51.514007
